Fail Type;Vin;MOS Type;Node;Fail?;Failed bits;Time_start;Time_end;Voltage
slope;1.41;CMOS_P;C_F_C15_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C16_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C16_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C17_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C17_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C18_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C18_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C19_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C19_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C1_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C1_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C20_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C20_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C21_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C21_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C22_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C22_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C23_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C23_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C24_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C24_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C25_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C25_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C26_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C26_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C27_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C27_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C28_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C28_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C29_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C29_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C2_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C2_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C30_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C30_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C31_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C31_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C32_MSB;1;[0, 0, 0, 1, 1, 1];[0, 0, 0, '3.3700085292E-09', '3.3700085292E-09', '7.4250011431E-09'];[0, 0, 0, '1.2930025341E-08', '1.3131302339E-08', '4.9101430378E-07'];[1.00004687, 0, 0, 1.001403, 1.0109999999999999, 1.01447]
slope;1.41;CMOS_P;C_F_C32_NDNEG;1;[0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, '5.3783868142E-08'];[0, 0, 0, 0, 0, '6.3784037420E-08'];[0, 0, 0, 0, 0, 1.001064]
slope;1.41;CMOS_P;C_F_C32_NDPOS;1;[0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, '1.7720077821E-08'];[0, 0, 0, 0, 0, '4.7720585653E-08'];[0, 0, 0, 0, 0, 1.0025250000000001]
slope;1.41;CMOS_P;C_F_C33_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C33_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C34_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C34_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C35_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C35_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C36_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C36_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C37_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C37_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C38_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C38_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C39_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C39_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C3_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C3_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C40_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C40_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 1.0000002319000001, 0, 0]
slope;1.41;CMOS_P;C_F_C41_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C41_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C42_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C42_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C43_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C43_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C44_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C44_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C45_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C45_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C46_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C46_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C47_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C47_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C48_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C48_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 1.0000002143, 0, 0]
slope;1.41;CMOS_P;C_F_C49_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C49_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C4_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C4_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C50_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C50_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C51_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C51_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C52_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C52_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C53_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C53_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C54_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C54_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C55_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C55_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C56_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C56_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 1.000001334, 0, 0]
slope;1.41;CMOS_P;C_F_C57_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C57_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C58_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C58_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C59_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C59_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C5_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C5_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C60_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C60_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C61_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C61_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C62_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C62_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C63_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C63_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C6_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C6_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C7_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C7_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C8_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C8_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 1.0000002528, 0, 0]
slope;1.41;CMOS_P;C_F_C9_NDNEG;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;C_F_C9_NDPOS;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;Q1;1;[1, 0, 0, 0, 0, 0];['3.6164597655E-09', 0, 0, 0, 0, 0];['1.1684470164E-08', 0, 0, 0, 0, 0];[1.1227, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;Q10;1;[0, 1, 0, 0, 0, 0];[0, '4.0545073385E-09', 0, 0, 0, 0];[0, '1.1821592861E-08', 0, 0, 0, 0];[1.000004519, 1.048, 0, 0, 0, 0]
slope;1.41;CMOS_P;Q11;1;[1, 0, 0, 0, 0, 0];['3.5816865089E-09', 0, 0, 0, 0, 0];['1.2009766587E-08', 0, 0, 0, 0, 0];[1.008459, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;Q12;0;[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0];[1.00001396, 0, 1.0009999999999999, 0, 0, 0]
slope;1.41;CMOS_P;Q13;1;[1, 0, 0, 0, 0, 0];['3.7236549939E-09', 0, 0, 0, 0, 0];['1.2235949188E-08', 0, 0, 0, 0, 0];[1.0167600000000001, 0, 0, 0, 0, 0]
slope;1.41;CMOS_P;Q14;1;[0, 1, 0, 0, 0, 0];[0, '4.0129470686E-09', 0, 0, 0, 0];[0, '1.1802361050E-08', 0, 0, 0, 0];[1.000001527, 1.02, 0, 0, 0, 0]
slope;1.41;CMOS_P;Q15;1;[1, 0, 0, 0, 0, 0];['3.7187888334E-09', 0, 0, 0, 0, 0];['1.2266069470E-08', 0, 0, 0, 0, 0];[1.0479799999999999, 0, 0, 0, 0, 0]
